OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.922665,-75.0900115
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.4991966,-107.9002831
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.5717115,-75.56341
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,39.6159851,-75.662956
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,37.9043929,-87.5507791
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,31.5970503,-94.5927451
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,38.9897914,-83.7622621
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,41.130062,-87.4388977
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,41.9478823,-86.5640955
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,37.7527982,-100.0170787
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.9417211,-87.4152071
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,37.2665236,-95.5268789
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.5742238,-87.460787
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,31.963778,-95.2705042
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,42.0971897,-102.8707145
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,41.1253271,-84.8532963
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,37.5780995,-105.7890452
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,46.975523,-109.696854
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,33.5793593,-88.6592901
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.4343533,-86.9190579
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,41.4807035,-74.2894593
692,BP,US-63,Ottumwa,IA,489,3.399,41.0082765,-92.3884998
739,Arco #364420,US-23,Greenup,KY,255,3.649,38.7269728,-82.997463
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,40.3779013,-104.6935157
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,40.3642937,-91.4644714
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,42.327724,-87.8394189
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,30.2032618,-82.6403437
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199,32.7399277,-96.8160745
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,41.4672552,-87.0604487
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,38.4040054,-96.181623
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,30.7807244,-91.3763353
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499,42.2455287,-85.6408648
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,43.6749798,-92.9386854
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,39.3419891,-91.1951437
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199,37.4950527,-94.2768736
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,39.7942213,-91.5232557
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.199,38.7012477,-93.2505392
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.299,36.7281652,-91.8525756
1251,MAPCO #3009,US-72,Corinth,MS,435,3.154,34.924611,-88.5220781
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.97233333,34.8238697,-89.5645993
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,245,3.629,34.2352853,-77.9487284
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,330,3.30733333,40.9116755,-98.3883774
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,115,3.53233333,41.0887072,-74.1437552
1424,GETTYSBURG TRAVEL PLAZA,US-15 & SR-394,Gettysburg,PA,70,3.899,39.8308973,-77.231012
1447,HOT SPOT #3005,US-221,Chesnee,SC,210,3.199,35.1500455,-81.8603215
1470,CIRCLE K #2705348,US-1,Beech Island,SC,135,3.159,33.4280649,-81.8891583
1533,YESWAY #1157,US-62,Brownfield,TX,700,2.99233333,33.1690274,-102.280742
1546,SHELL,"I-35, EXIT 86 & SR-85",Dilley,TX,740,3.099,28.66465,-99.1824808
1548,TOOT N TOTUM #107,US-287,Dumas,TX,585,3.03233333,35.8378392,-101.9732155
1552,STRIPES #40911,US-59 & SR-16,Freer,TX,625,3.099,27.8781306,-98.6142095
1560,CATTREZ,US-20 & SR-5,Irving,NY,38,2.899,42.5675589,-79.1128169
1567,KUM & GO #4110,"I-235, EXIT 11",Des Moines,IA,320,3.02733333,41.5929141,-93.6686198
1602,CIRCLE K #2723387,US-98,Beaumont,MS,620,3.56566666,31.1595412,-88.9231477
1618,GO MART FOOD STORE #33,US-33,Ripley                                  ,WV,44,3.499,38.8189041,-81.713099
1646,SPEEDWAY #8310,US-6  & US-31,Plymouth,IN,465,3.609,41.3436555,-86.3097278
1647,SPEEDWAY #8305,US-41 & SR-312,Hammond,IN,290,3.76566666,41.6173959,-87.5220108
1653,ROAD RANGER #187,"I-55, EXIT 289",Chicago,IL,520,3.569,41.8774134,-87.6243099
1720,TOOT N TOTUM #120,US-54 & S WESTERN AVE,Liberal,KS,585,3.01566666,37.0336373,-100.9404472
1810,KENT KWIK #804,US-83,Perryton,TX,585,2.999,36.3781996,-100.8026264
1832,CORNER FUEL CENTER,US-49,Hattiesburg,MS,620,3.299,31.2612672,-89.282838
1849,Stripes #42457,US-67/US-277,San Angelo,TX,740,3.244,31.4865067,-100.3817494
1855,EXIT 76 AUTO TRUCK PLAZA,US-131,Byron Center,MI,344,3.499,42.8122508,-85.7228062
1874,CIRCLE K #2744529,US-175,Seagoville,TX,630,2.95066666,32.6491672,-96.5432839
1888,STRIPES 7FLEET #42449,US-87,Sterling City,TX,710,3.28066666,31.8369062,-100.9990743
1889,TOOT N TOTUM #105,US-54 & US-287,Stratford,TX,585,2.96566666,36.3361403,-102.072119
1905,LUCKY TRUCK STOP,US-82,Whitesboro                              ,TX,630,2.88566666,33.6678531,-96.9145809
1954,Joe's Kwik Mart #8409,US-58 & CR-645,Suffolk,VA,130,3.03233333,36.7281341,-76.5834683
2000,RIVER CITY TRAVEL PLAZA,US-41,Marinette,WI,360,3.399,45.1026187,-87.6271905
2002,KWIK TRIP #222,US-53/US-2,Superior,WI,334,3.339,46.7240234,-92.1310284
2030,GHOST TOWN FUEL STOP,US-26/US-20,Casper,WY,790,3.429,42.8676585,-106.3444456
2078,ALLSUPS CONVENIENCE STORE #2366,US-84 & CR-3300,Slaton                                  ,TX,700,2.969,33.4481042,-101.6748171
2087,LWS TRUCK STOP,SR-30,Logan,UT,835,3.42566666,41.7357618,-111.8668677
2144,Mountain View Truck Stop,US-15,Thurmont,MD,60,4.099,39.6192785,-77.4170793
2194,A AND A TRUCKSTOP,US-35 & CR-41,Jackson,OH,315,3.799,39.0131871,-82.6089043
2204,NATURAL BRIDGE SHELL,US-278 & SR-5,Lynn,AL,615,3.68233333,34.0470483,-87.54974
2283,CIRCLE K #2707321,SR-60,Bartow,FL,225,3.52233333,27.9040808,-81.8396865
2331,PINNERS POINT,SR-135,Portsmouth,VA,130,3.499,36.8080547,-76.2983859
2340,RSTORE #4478,SR-8 & SR-13,Prentice,WI,395,3.039,45.5459408,-90.2875802
2638,PIT STOP TRAVEL CENTER,US-789,Riverton                                ,WY,790,4.399,43.0354906,-108.380873
2761,PONY EXPRESS SERVICE CENTER,US-36 & SR-148,Hanover,KS,316,2.95566666,39.893892,-96.87947
2764,LOVES TRAVEL STOP #046,US-64/54 & SR-94,Hooker,OK,585,3.56233333,36.8603505,-101.2075401
2765,LOVES TRAVEL STOP #023,US-50 & US-287,Lamar,CO,525,3.46233333,38.0872306,-102.620749
2807,SUDDEN SERVICE #25,"I-24, EXIT 11",Clarksville,TN,460,3.30733333,36.5337641,-87.2316745
2896,NORTH LEWISTON DYNAMART,US-12 & SR 128,Lewiston,ID,970,3.669,46.4195913,-117.0216144
2917,GOLDYS TRUCK PLAZA,US-29,Rustburg,VA,185,3.519,37.2768113,-79.1008543
2924,HWY 190 FUEL STOP,US-190,Jasper                                  ,TX,610,3.13233333,30.9177285,-93.9819429
3030,Mr Ts Riverside,US-412,Cardwell                                ,MO,435,3.199,36.0391468,-90.2962776
3064,PORTS TO PLAINS TRAVEL PLAZA,US-50 & US-287,Lamar,CO,800,3.399,38.0872306,-102.620749
3086,SPEEDWAY #4638,US-29,Madison Heights,VA,185,3.49566666,37.4748343,-79.0799194
3093,RSTORE #4488,US-51,Merrill,WI,395,3.24066666,45.1946928,-89.6467982
3148,YESWAY #1038,US-60 & SR-86,Neosho,MO,307,3.059,36.8665201,-94.3701651
3167,JASPER FOOD MART,US-78,Jasper,AL,615,3.229,33.8069695,-87.2815545
3176,BP,US-6 & SR-15,New Paris                               ,IN,365,3.65733333,41.5045465,-85.8241113
3178,ERNIES FUEL STOP #1605,SR-167,Kent,WA,977,4.599,47.4384195,-122.2182084
3206,PERHAM OASIS,US-10 & SR-78,Perham,MN,250,3.499,46.5944042,-95.5725415
3230,STRIPES #40815,US-281 & US-285,Falfurrias,TX,625,3.299,27.2247328,-98.1462397
3413,COUNTRY GIRL TRUCK STOP,US-167 & SR-156,Winnfield,LA,590,3.319,31.925228,-92.63994
3460,CHROME TRUCK STOP,US-18 & US-169,Algona,IA,433,3.499,43.0699663,-94.233019
3522,SUNMART #308,US-59,Livingston                              ,TX,610,2.859,30.7244895,-94.9449846
3719,KEYSTONE TRUCK STOP,US-22 & SR-164,Loretto,PA,14,3.999,40.5029161,-78.6314019
3737,JORDAN'S KWIK STOP #70,US-49,West Helena                             ,AR,435,3.399,34.551888,-90.6571603
3759,EXXON,US-67 & SR-18,Newport,AR,695,4.13233333,35.6067154,-91.2830334
3783,CIRCLE K #2744095,"I-25, EXIT 215",Denver,CO,800,3.299,39.6660361,-104.8673054
3817,FAST MARKET,"I-25, EXIT 158",Colorado Springs,CO,803,3.159,38.7922967,-104.7028483
3868,SHORE STOP #279,US-13,Greenwood,DE,194,3.239,38.80335,-75.5849115
3907,SUNOCO,US-46 & SR-93,Palisades Park,NJ,105,3.279,40.8481556,-73.997639
3946,Fast Lane,US-24 & US-63,Moberly,MO,310,3.469,39.4201137,-92.4364298
4006,MISSILE MART #1,US-167 & SR-7,El Dorado,AR,635,3.499,33.2115087,-92.6650144
4062,DUDLEYS TRUCK STOP RESTAURANT,US-220,Rocky Mount,VA,185,3.299,37.0095992,-79.8732442
4080,SHELL DBA PILOT DEALER #874,US-41,Miami,FL,176,3.699,25.7662605,-80.1985389
4113,ASAP GENERAL STORE #330,US-412/SR-15,Enid,OK,500,3.08233333,36.3910368,-97.9716014
4119,JET FOOD STORE #82,US-441 & CR-13,Douglas,GA,10,3.44066666,33.6995565,-84.7622973
4171,PETRO SERVE USA #11,US-2 & US-71,Bemidji,MN,355,3.499,47.4723148,-94.8832791
4220,KENNETT TRUCK STOP,"I-275, EXIT 16",Lawrenceburg                            ,IN,300,3.424,39.1255299,-84.8337487
4233,QUIKTRIP #7220,"I-20, EXIT 8",Shreveport,LA,745,2.89233333,32.4723492,-93.7972651
4267,CONOCO,US-30 & SR-41,Gap,PA,160,3.799,39.989477,-76.0173511
4331,KWIK STOP C STORES,US-61/US-151,Dubuque,IA,335,3.559,42.4635692,-90.670214
4335,HIGHWAY 20  AUTO TRUCK PLAZA,US-20,Peosta,IA,335,3.489,42.4410122,-90.8551838
4442,Minuteman Food Mart #58,US-74/US-76,Delco,NC,245,3.50733333,34.3165947,-78.233707
4452,CASEYS #2867,US-63 & US-20,Waterloo,IA,380,3.499,42.498275,-92.3328743
4492,3 MILE CORNER TRUCK STOP,US-2 & US-95,Bonners Ferry,ID,970,3.734,48.6972317,-116.3119832
4819,Alta Convenience #6333,"I-25, EXIT 11",Trinidad,CO,803,3.399,37.1722623,-104.5091201
4837,SHELL,US-10 & SR-210,Motley,MN,522,3.399,46.3366315,-94.646125
4905,HY-MILER #2204,SR-250,Sandusky,OH,550,3.53233333,41.4542204,-82.7128465
4977,KWIK TRIP #331,SR-54,Wisconsin Rapids,WI,395,3.26233333,44.0842353,-87.6770463
5006,SUNOCO,US-1/US-9,Linden,NJ,79,3.799,40.6487158,-74.2236403
5030,YESWAY #1030,US-63 & E MARY ST,Ottumwa,IA,320,3.399,40.9948186,-92.4135936
5079,FASTLANE TAYLOR 63,US-61 & SR-6,Taylor,MO,494,3.01566666,39.9381011,-91.5237663
5202,Chevron #306185,US-30,Montpelier,ID,825,3.699,42.319849,-111.2978195
5232,CM EUNICE,US-190,Eunice,LA,730,3.399,30.4949124,-92.4289449
5245,CASEYS #3842,US-36 & US-283,Norton,KS,357,3.15733333,39.7944702,-99.9100033
5249,Taylor's Stateline Travel Center,US-67 & SR-278,Neelyville,MO,275,2.999,36.561713,-90.5061465
5282,CASEYS #3548,US-54 & US-61,Pratt,KS,357,3.14066666,37.6280602,-98.7485305
5309,NEWBORN TRUCK STOP,I-20 EXIT 5,Tallapoosa,GA,48,3.40733333,33.6853141,-85.2596222
5324,HY-MILER #2245,SR-53,Fremont,OH,550,3.38233333,41.3838243,-83.1154113
5407,CASEYS #4535,US 81,Concordia                               ,KS,570,2.91233333,39.5639543,-97.6574286
5435,MEADE AUTO AND TRUCK PLAZA,US-54,Meade                                   ,KS,525,3.799,37.28549,-100.3357957
5464,PILOT TRAVEL CENTERS #48,"I-65, EXIT 86",Glendale,KY,415,3.609,37.6022769,-85.8675485
5569,TA EXPRESS NORWOOD #0450,US-60,Norwood,MO,535,3.449,37.1109477,-92.4520983
5579,SAPP BROS TRAVEL CENTER,US-30,Columbus,NE,486,3.219,41.4385555,-97.3522322
5601,BP,"I-24, EXIT 16",Paducah,KY,490,3.429,37.056542,-88.6542928
5608,SHOP A LOTT  #3,US-84 & US-171,Mansfield                               ,LA,766,3.13566666,32.0218301,-93.7143492
5659,TEX-BEST #526,US-59 & US-281,George West,TX,625,3.299,28.3318242,-98.1171612
5700,BEACON & BRIDGE #18,US-131 BUS,Big Rapids,MI,456,3.559,43.7051513,-85.484087
5718,TOOT N TOTUM #104,US-287,Dalhart,TX,585,3.199,36.0616092,-102.522223
5730,SCOTTS QUICK STOP,SR-53 & SR-46,Marlette,MI,342,3.399,43.326969,-83.08022
5758,SPEEDY Q MARKET #8206,"I-94, EXIT 274",Port Huron                              ,MI,325,3.899,42.9983959,-82.4394175
5907,SPEEDWAY #4035,CR-101,Shakopee,MN,448,3.599,44.8028428,-93.4841858
5949,EXXON,US-59 & LOOP 151,Texarkana                               ,TX,723,3.16566666,33.3986018,-94.0867505
5979,TA LAFAYETTE TRAVEL CENTER,"I-10 & SR-182, EXIT 101",Lafayette,LA,600,3.134,30.2591672,-91.98279
5990,360 TRUCK STOP,US-360,Amelia Court House,VA,180,3.599,37.3586705,-77.9582202
6001,ALLSUPS #2392,US-70 & US-285,Roswell,NM,700,3.199,33.3943282,-104.5229518
6009,CASEYS #2652,US-65 & US-36,Chillicothe,MO,400,3.289,39.7948749,-93.5532779
6033,EMERY'S,US-54,Deerfield,MO,277,3.349,37.838381,-94.5079868
6047,FAST LANE #26,US-61,Eolia,MO,494,3.099,39.2128074,-91.0054728
6068,AYERCO #24,US-61 & CR MM,Hannibal,MO,494,3.099,39.7082498,-91.3587413
6087,BREAK TIME #3173,US-54 & CR-HH,Fulton,MO,310,3.299,38.8467082,-91.9479586
6096,Waverly Travel Center,US-23,Waverly                                 ,OH,315,3.41566666,39.1239946,-82.9900713
6167,PILOT TRAVEL CENTERS #167,US-71,Nevada,MO,277,3.49566666,37.8479559,-94.33897
6188,SIGNAL FOOD STORE #112,US-65 & SR-J,Ozark,MO,535,2.999,36.6467816,-92.4575198
6219,SCHATZ CROSSROADS,US-2 /US-52,Minot,ND,452,3.549,48.2096542,-101.3111905
6243,GARDEN INN TRAVEL PLAZA,US-60/US-63,Cabool,MO,535,3.299,37.0627462,-92.0337955
6296,GRAY TRUCK STOP,US-71/US-136,Maryville,MO,400,3.26566666,40.3448775,-94.8312267
6307,QUIKTRIP #608,"I-70, MID RIVERS MALL",Saint Peters,MO,540,2.904,38.7937093,-90.6129442
6315,AYERCO #25,US-24,Taylor,MO,494,3.01566666,39.9367709,-91.5124864
6356,CIRCLE K #2721536,ST 6 EAST,Batesville,MS,435,3.24066666,34.3069861,-89.9174289
6374,TA ELGIN WEST TRAVEL CENTER,I-90 &  US-20,Hampshire,IL,290,3.459,42.0978028,-88.5303643
6391,TOOT N TOTUM #106,US-287,Dumas,TX,585,3.00566666,35.8378392,-101.9732155
6434,AMPRIDE ALL ROUND TRUCK STOP,US-20,Fort Dodge,IA,343,3.299,42.5010761,-94.1768535
6442,CLARK OIL #49,US-84,Laurel,MS,620,2.999,31.6883837,-89.1213444
6462,ARCO #471770,US-281 & SR-5,Dunseith,ND,452,3.499,48.813057,-100.060968
6492,FLICKS,US-49,Richland,MS,760,2.999,32.2762194,-90.1756514
6526,TULIP CITY TRUCK STOP,"I-196 & SR-40, EXIT 49",Holland,MI,344,3.739,42.7876022,-86.1090828
6564,FLYING J FRANCHISE #970,US-395,Pasco                                   ,WA,925,4.599,46.2456611,-119.1270565
6608,7-ELEVEN #35560,SR-16,Charlotte,NC,46,3.999,35.2272086,-80.8430827
6659,GURNEE TRUCK STOP,US-41,Gurnee                                  ,IL,290,3.289,42.3744189,-87.8975028
6693,SAPP BROS TRAVEL CENTER,US-77,Fremont,NE,486,3.34566666,41.4370964,-96.4983792
6744,FLYING J #550,US-2/US-52,Minot,ND,273,3.93566666,48.2100354,-101.3149471
6859,PRIME STOP,US-81,Norfolk,NE,470,3.229,42.008813,-97.4266924
6883,PILOT TRAVEL CENTERS #517,US- 22 & SR-322,Duncannon,PA,70,4.199,40.3931433,-77.0325751
6897,Speedee Mart #2890,US-20 & US-83,Valentine,NE,475,3.329,42.8746752,-100.5506158
6901,PRIME STOP,US-275,Wisner,NE,470,3.259,41.9851895,-96.9104652
6968,R STORE #4513,US-41,Fond Du Lac,WI,360,3.299,43.7543876,-88.4690081
6976,MOASIS TRUCK CENTER,US-41,Little Chute,WI,444,3.199,44.2980346,-88.3342127
7018,FLYING J TRAVEL PLAZA #746,"I-15 & I-80 SR 201, EXIT 305",Salt Lake City,UT,835,3.73233333,40.7852018,-111.990179
7045,BUBBLE CITY TRUCK STOP,US-64,Farmington,NM,614,3.70566666,36.7194055,-108.192326
7051,PILOT #887,US-84 & US-180,Snyder,TX,575,3.24566666,32.7180803,-100.918231
7084,Holiday StationStore #2746500,US-12 & US-281,Aberdeen,SD,248,3.114,45.4649805,-98.487813
7147,JUBITZ TRAVEL PLAZA,"I-5, EXIT 307",Portland,OR,935,3.859,45.5856733,-122.5857142
7225,LOVES TRAVEL STOP #329,US-60,Clovis,NM,593,4.089,34.4006073,-103.2122567
7326,PETRO STOP #398,"I-35 & I-90, EXIT 11",Albert Lea,MN,515,4.099,43.6480127,-93.3682656
7331,SPEEDWAY #9266,US-52 & SR-234,Ironton,OH,255,3.699,38.5367471,-82.6829406
7344,BEST QUICK STOP,US-1,Peabody,MA,178,3.61566666,42.5202778,-70.9984767
7360,KINGS TRUCK STOP,ST 103,Port Barre                              ,LA,600,3.189,30.5474097,-91.9646205
7396,7-ELEVEN #36180,US-20/SR-18,Monroeville,OH,550,3.614,41.2443539,-82.6950511
7417,SKY CITGO,US-30 & SR-23,Grovertown,IN,365,3.499,41.3750434,-86.5047339
7418,JJS TRAVEL PLAZA,US-31 & US-24,Peru,IN,370,3.444,40.7537253,-86.0690325
7622,COPAN TRUCK STOP,US-75,Copan                                   ,OK,307,3.119,36.8975794,-95.9260927
7724,FUEL MART #767,US-6 & US-23,Bradner,OH,550,3.40733333,41.3242192,-83.4385387
7725,BELL STORES #48,US-30 & SR-94,Dalton,OH,249,3.38566666,40.7991618,-81.6953867
7753,LOVES TRAVEL STOP #166,SR-351,Muskogee,OK,560,3.33733333,35.7493153,-95.361374
7871,STRIPES 7FLEET #42454,"US-60, US-70 & US-84",Texico,NM,700,3.829,34.3895321,-103.044293
8936,CIRCLE K #107,US-220 & CR-902,Ridgeway,VA,65,3.399,36.5768047,-79.8583721
9161,TREXLER PLAZA TRUCK STOP,I-78/US-22,Allentown,PA,160,3.63233333,40.6189494,-75.454465
9206,CIRCLE K #4707005,US-2 & SR-4,Farmington,ME,170,3.899,44.670628,-70.1514536
9340,LANCASTER TRAVEL PLAZA,US-30,Ronks,PA,208,3.899,40.0197171,-76.1788878
9554,BIG D OIL #2,US-85 & US-34,Belle Fourche                           ,SD,506,3.22733333,44.6731329,-103.8517342
9618,FLYING J #477,US-75,Anna,TX,630,3.239,33.3824119,-96.5806381
9763,DELUXE TRUCK STOP,SR-759,Saint Joseph,MO,400,3.149,39.7301009,-94.8126536
9842,Petes #03,US-59 & US-54,Moran,KS,336,3.26566666,37.9161474,-95.1702546
9860,PARADISE AUTO TRUCK PLAZA,US-31,Rochester,IN,370,3.40566666,41.0707164,-86.2157681
9990,JIMS  BEST STOP,US-45 & US-64,Selmer,TN,435,3.174,35.1700744,-88.5923645
10006,FLINT HILLS FUEL MART,US-50 & US-77,Florence,KS,336,3.499,38.2444619,-96.9280787
10007,CIRCLE K #2705346,SR-307,Savannah,GA,195,3.03233333,32.0790074,-81.0921335
10024,MILLERS TRAVEL CENTER,US-6 & US-50,Wellington,UT,835,3.659,39.5424659,-110.735434
10028,GOOD TO GO #10,US-35,Winamac,IN,290,3.914,41.0592047,-86.604608
10065,ROAD MART,US-71/US-59,Ashdown,AR,723,3.299,33.6933339,-94.1402928
20006,CENEX C STORE,US-52,Kenmare,ND,452,3.46733333,48.6470581,-102.039813
20011,CUBBYS #111,US-81,Norfolk,NE,470,3.209,42.008813,-97.4266924
20014,SIMONS EXIT 16,"I-89, EXIT 16",Enfield                                 ,NH,39,3.499,43.5683629,-72.1510957
20043,FRIENDSHIP FOOD MART #70,SR-2 & SR-53,Port Clinton,OH,550,3.939,41.5119954,-82.9376919
20119,FREMONT CITGO,US-10 & SR-110,Fremont,WI,444,3.399,44.271989,-88.8505115
52052,EXPRESSWAY MOBIL,US-63 & US-167,El Dorado,AR,635,3.599,33.2115087,-92.6650144
52070,FRIENDLY EXPRESS #31,US-1 & US-301,Folkston,GA,75,3.099,30.8305818,-82.0097846
52081,MCCLURE OIL #9,US-31 & SR-18,Kokomo,IN,375,3.839,40.4864444,-86.1336351
52089,SHELL,US-84 & SR-28,Jonesville,LA,719,3.399,31.626142,-91.8135871
52103,SPRINT MART #27,US-45 & US-72,Corinth,MS,435,3.05566666,34.9343599,-88.5223353
52104,BLUE SKY #734,SR-1,Saltillo                                ,MS,435,3.08233333,34.3765897,-88.6844613
52236,CHEVRON,US-60,Globe,AZ,930,4.299,33.3923716,-110.7651047
52262,CIRCLE K #2721577,US-84 & SR-21,Monroeville,AL,715,3.434,31.5278224,-87.3246325
52340,KWIK FILL #249,US-22,Duncansville,PA,14,4.07233333,40.4272345,-78.440876
52363,SPEEDWAY #2376,US-131 & SR-46,Cedar Springs,MI,456,3.899,43.22336,-85.551424
52393,CASEYS #3004,SR-15 & CR-52,Truman,MN,425,3.299,43.8277419,-94.4389338
52435,CM WINNERS CHOICE,"I-10 & SR-108, EXIT 23",Sulphur,LA,690,3.299,29.5953311,-89.8460959
52439,CIRCLE K #2723395,US-11,Hattiesburg,MS,620,3.199,31.320836,-89.2972131
52461,FLORENCE VALERO,US-130,Burlington                              ,NJ,160,3.13566666,40.0819916,-74.8393243
52464,7-ELEVEN #40118,ST 220 & I-180,Muncy,PA,138,4.359,41.20484,-76.7870991
52480,LOVES TRAVEL STOP #268,US6-9 & US-75,Atoka,OK,253,3.489,34.3284948,-96.017838
52510,Valero,SR-9,Maysville                               ,KY,312,3.599,38.6474569,-83.7644793
52517,STRIPES 7FLEET #42562,US-84 & US-385,Littlefield,TX,700,3.199,33.9189172,-102.332836
52541,PANTRY TRUCKSTOP,US-2/US-41,Rapid River,MI,360,3.499,45.9252002,-86.9859883
52546,CIRCLE K #2723910,US-84 & US-27,Bainbridge,GA,20,3.599,30.9038252,-84.5754768
52557,SPRINT MART #40,US-72 & SR-247,Tuscumbia,AL,615,3.189,34.7318811,-87.7028627
52566,YUMM,"I-35, EXIT 8",Laredo,TX,598,2.87566666,27.5203328,-99.5031107
52588,STRIPES #42564,US-87,Lubbock,TX,700,3.199,33.6398349,-101.8358608
52603,CASEYS #3364,US-281 & SR-200,Carrington,ND,341,3.439,47.44972,-99.126224
52607,PILOT TRAVEL CENTERS #409,"I-40, EXIT 172",Dickson                                 ,TN,460,3.19233333,36.105938,-87.2743797
52612,STRIPES 7FLEET #42568,US-60 & CR-G,Hereford,TX,700,3.35066666,34.8245521,-102.398778
52622,STRIPES 7FLEET #42567,I-20,Stanton,TX,700,3.01566666,32.1410781,-101.780247
52640,SPEEDWAY #8316,US-30 & US-41,Dyer,IN,290,3.649,41.4942021,-87.5217068
52648,Stripes #42566,US-67 & SR-158,Ballinger,TX,612,3.05566666,31.7411047,-99.9530698
52669,COLUMBIA TRUCK STOP,US-46,Columbia,NJ,115,3.079,40.922665,-75.0900115
52678,STRIPES 7FLEET #42433,US-277,Bronte,TX,739,3.474,31.884928,-100.2922618
52684,KWIK STAR #348,US-30/US-67,Clinton,IA,270,3.624,41.8378198,-90.1862516
60084,SUNSTOP #625,US-84,Ashford,AL,20,3.599,31.1749404,-85.23635
60106,SUNSTOP #619,US-84,Daleville,AL,720,3.399,31.3013185,-85.7289152
60136,HOBO PANTRY #18,US-431,Headland                                ,AL,20,3.599,31.3830584,-85.3270645
60145,OCS QUICK STOP,US-43/SR-13,Mount Vernon                            ,AL,715,3.699,31.0760224,-88.0232983
60147,HOP-IN FOOD STORES,US-82 & SR-22,Maplesville,AL,720,3.399,32.7884608,-86.8716549
60220,ZELLWOOD TRUCK STOP,US-441,Zellwood,FL,140,3.499,28.6954297,-81.5604497
60224,SUNSTOP #419,US-19,Camilla,GA,20,3.499,31.240693,-84.1999774
60226,CIRCLE K #2723903,US-82 & SR-520,Dawson,GA,20,3.499,34.4077085,-84.1356771
60230,CIRCLE K #2745152,US-19,Pelham,GA,20,3.499,31.1216212,-84.1401112
60242,KWIK STAR #711,US-18/US-52,Monona,IA,565,3.624,43.0514959,-91.440157
60270,CHUCKLES #27,SR-57,Washington                              ,IN,340,3.339,38.646254,-87.1730419
60282,CRVS #7,SR-96 & SR-27,Tribune,KS,525,3.399,38.4697378,-101.752672
60298,BEAU CHENE TRUCK STOP,"I-49, EXIT 11",Grand Coteau,LA,730,3.399,30.4313991,-92.0649217
60313,WHITE MARSH TRUCK STOP,US-40,White Marsh                             ,MD,22,3.369,39.3593224,-76.4470877
60333,LAKESHORE BP,US-2,Manistique,MI,287,3.499,45.9633054,-86.2692135
60341,SNAPPY FOOD MART,ST 60,Tekonsha,MI,431,3.589,42.0909308,-84.9875015
60342,True North #254,US-31 & SR-37,Traverse City,MI,456,3.789,44.7606481,-85.6165976
60358,PETRO SERVE USA #54,US-10,Glyndon,MN,341,3.449,46.8769922,-96.589332
